.SPD:  Speedo scalable font 
.MDB:  Access database 
.IDE:  Integrated Development Environment configuration (filename extension) 
.IDD:  Instrument Definition - MIDI (filename extension). 
.XIF:  Xerox Image Format (filename extension). 
.PIX:  Inset Systems graphics 
.ADS:  Specification file type, Ada language (filename extension). 
.MCW:  Microsoft Word for Macintosh (filename extension). 
.ADR:  AfterDark Randomizer (filename extension). AfterDark is a screensaver program that can be set to randomly display a variety of screensaver patterns one after another. 
.PIT:  PackIt - Macintosh compression 
.CPX:  Corel Presentation Exchange compressed file (filename extension). 
.Z:  Unix compress file 
.tar.z:  or .tar.Z Combined filename extension for a file that has been archived using tar and then zipped. 
.PS:  PostScript. This is a plain text file. 
.MCS:  MathCAD format 
.X:  AVS X image file 
.ADM:  AfterDark MultiModule (filename extension). 
.CPT:  Compact Pro 
.TIF:  TIFF graphics file 
.CPR:  Knowledge Access graphics 
.PM:  PageMaker 
.S:  Assembly language file - Unix 
.PL:  Perl script (filename extension). 
.CPP:  C++ program file 
.arj:  A PC compressed format found on European sites (filename extension), which can be decoded with unArjMac, DeArj, and SITEX10.EXE (win). 
.CPL:  Control Panel - Windows 
.VUE:  Relational View - dBASE 
.P10:  Tektronix Plot10 
.ADD:  Adapter Driver - OS/2 (filename extension). 
.PIF:  Program Information File - Windows 
.ADB:  1. Appointment DataBase, HP 100LX (filename extension). 2. Body file type, Ada language (filename extension). 
.CPI:  Code Page - DOS 
.ICO:  Icon - Windows or OS/2 
.PIC:  PICT graphics format, or PIXAR picture file 
.ICM:  Image Colour Matching (filename extension). 
.CPE:  Fax Cover document (filename extension). 
.ED5:  EDMICS graphics 
.H:  Header (filename extension -- C). 
.QBW:  QuickBooks for Windows (filename extension). 
.C:  C program file 
.ACV:  Drivers for compressing or decompressing audio files, OS/2 (filename extension). 
.LIC:  License file - shareware (filename extension). 
.GP4:  Group 4 - CALS, ITU (filename extension). CCITT compressed Group 4 TIFF file. 
.LIB:  Library 
.THN:  Thumbnail (filename extension). 
.GP3:  CCITT compressed Group 3 TIFF file (filename extension). 
.ICB:  Targa bitmap (filename extension). 
.ICA:  IOCA graphics 
.mime:  MIME (filename extension); the encoding format used by the Multipurpose Internet Mail Extension. 
.ONX:  Onyx Graphics Postershop (filename extension). 
.ACM:  Windows system directory file (filename extension). 
.ACL:  Keyboard accelerator, Corel Draw 6 (filename extension). 
.SNM:  Netscape mail (filename extension). 
